name,product_id,sku,brand,price_current,price_old,discount_amount,installment,category,url,image_url,page
HUAWEI MatePad Pro 12.2 Wi-Fi 12/512 GB Black,112001,TM-DG-TBQ-1105-TB-0788,,1.549.99,1.899.99,350.00,0% 12 ay,Planşetlər,https://mgstore.az/huawei-matepad-pro-12-2-wi-fi-12-512-gb-black,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0788_1.png,2
Samsung Galaxy Tab S10 FE (SM-X526B) 8/128 GB Gray,110353,TM-DG-TBQ-1105-TB-0767,,949.99,1.219.99,270.00,0% 12 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-s10-fe-sm-x526b-8-128-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0767_1_1_.png,2
Xiaomi Redmi Pad 2 8/256 GB Lavender Purple,109919,TM-DG-TBQ-1105-TB-0765,,369.99,449.99,80.00,0% 6 ay,Planşetlər,https://mgstore.az/xiaomi-redmi-pad-2-8-256-gb-lavender-purple,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0765_1.png,2
Xiaomi Redmi Pad 2 8/256 GB Graphite Gray,109918,TM-DG-TBQ-1105-TB-0764,,369.99,449.99,80.00,0% 6 ay,Planşetlər,https://mgstore.az/xiaomi-redmi-pad-2-8-256-gb-graphite-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0764_1.png,2
Xiaomi Redmi Pad 2 4/128 GB Graphite Gray,109917,TM-DG-TBQ-1105-TB-0761,,289.99,349.99,60.00,0% 6 ay,Planşetlər,https://mgstore.az/xiaomi-redmi-pad-2-4-128-gb-graphite-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0761_10.png,2
HONOR Pad X9a LTE 8/256 GB Gray,109913,TM-DG-TBQ-1105-TB-0757,,499.99,649.99,150.00,0% 6 ay,Planşetlər,https://mgstore.az/honor-pad-x9a-lte-8-256-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0757_1.png,2
HUAWEI MatePad 12 X Wi-Fi 12/256 GB White,109642,TM-DG-TBQ-1105-TB-0748,,1.099.99,1.299.99,200.00,0% 12 ay,Planşetlər,https://mgstore.az/huawei-matepad-12-x-wi-fi-12-256-gb-white,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0748_1.png,2
iPad 11-inch (A16) Wi-Fi 128 GB Pink,107793,TM-DG-TBQ-1105-TB-0734,,,829.99,170.00,0% 6 ay,Planşetlər,https://mgstore.az/ipad-11-inch-a16-wi-fi-128-gb-pink,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0734_1.png,2
Samsung Galaxy Tab S10 FE (SM-X526B) 8/128 GB Silver,106423,TM-DG-TBQ-1105-TB-0705,,949.99,1.219.99,270.00,0% 12 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-s10-fe-sm-x526b-8-128-gb-silver,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0705_1-eadcc0dd.webp,3
Samsung Galaxy Tab S10 FE+ (SM-X626) 8/128 GB Gray,106422,TM-DG-TBQ-1105-TB-0704,,1.299.99,1.499.99,200.00,0% 12 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-s10-plus-fe-sm-x626-8-128-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0704_1.png,3
Oukitel OT8 6/256 GB Green,104918,TM-DG-TBQ-1105-TB-0672,,369.99,499.99,130.00,0% 6 ay,Planşetlər,https://mgstore.az/oukitel-ot8-6-256-gb-green,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0672_1.png,3
HUAWEI MatePad 11.5 PaperMatte Edition WIFI Only 8/256 GB Space Gray Keyboard,103813,TM-DG-TBQ-1105-TB-0667,,749.99,899.99,150.00,0% 6 ay,Planşetlər,https://mgstore.az/huawei-matepad-11-5-papermatte-edition-wifi-only-8-256-gb-space-gray-keyboard,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0667_1.png,3
Samsung Galaxy Tab A9+ (SM-X216B) 4/64 GB Silver,102112,TM-DG-TBQ-1105-TB-0595,,,379.99,260.00,0% 12 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-a9-sm-x216b-4-64-gb-silver,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0595_1.png,3
iPad Mini 7 Wi-Fi + Cellular 256 GB Space Grey,100686,TM-DG-TBQ-1105-TB-0643,,1.849.99,2.149.99,300.00,0% 12 ay,Planşetlər,https://mgstore.az/ipad-mini-7-wi-fi-cellular-256-gb-space-grey,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0643_1.png,3
iPad Mini 7 Wi-Fi + Cellular 128 GB Space Grey,100685,TM-DG-TBQ-1105-TB-0639,,1.599.99,1.849.99,250.00,0% 12 ay,Planşetlər,https://mgstore.az/ipad-mini-7-wi-fi-cellular-128-gb-space-grey,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0639_1.png,3
HUAWEI Matepad SE 11 WI-FI 6/128 GB Nebula Gray,100621,TM-DG-TBQ-1105-TB-0607,,269.99,429.99,160.00,0% 6 ay,Planşetlər,https://mgstore.az/huawei-matepad-se-11-wi-fi-6-128-gb-nebula-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0607_1.png,3
iPad Mini Wi-Fi + Cellular 128 GB Space Grey MXPN3QA/A,100336,TM-DG-TBQ-1105-TB-0626,,,0.01,0.00,0% 12 ay,Planşetlər,https://mgstore.az/ipad-mini-wi-fi-cellular-128-gb-space-grey-mxpn3qa-a,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0626_1.png,3
Samsung Galaxy Tab S10 Plus 12/256 GB (SM-X826B) Gray,99971,TM-DG-TBQ-1105-TB-0597,,2.199.99,2.549.99,350.00,0% 12 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-s10-plus-12-256-gb-sm-x826b-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0597_1.png,3
HUAWEI Matepad SE 11 LTE 8/128 GB Nebula Gray,95393,TM-DG-TBQ-1105-TB-0581,,379.99,499.99,120.00,0% 6 ay,Planşetlər,https://mgstore.az/huawei-matepad-se-11-lte-8-128-gb-nebula-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0581_1_1_.png,3
iPad 10.9-inch (10 Gen) Wi-Fi + Cellular 64 GB Yellow,95169,TM-DG-TBQ-1105-TB-0367,,1.249.99,1.299.99,50.00,0% 12 ay,Planşetlər,https://mgstore.az/ipad-10-9-inch-64-gb-10-gen-wi-fi-cellular-yellow,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0367_13_2_.png,3
iPad 10.9-inch (10 Gen) Wi-Fi + Cellular 256 GB Yellow,67469,TM-DG-TBQ-1105-TB-0371,,1.499.99,1.599.99,100.00,0% 12 ay,Planşetlər,https://mgstore.az/ipad-10-9-inch-256-gb-10-gen-wi-fi-cellular-yellow,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0371-01.png,3
iPad 10.9-inch (10 Gen) Wi-Fi + Cellular 64 GB Blue,67468,TM-DG-TBQ-1105-TB-0366,,1.199.99,1.299.99,100.00,0% 12 ay,Planşetlər,https://mgstore.az/ipad-10-9-inch-10-gen-64-gb-wi-fi-cellular-blue,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-036655.png,3
